阿斗当皇帝	软弱无能
拉琴的丢唱本	没谱
拉琴的丢乐本	没谱儿了
拉石灰车遇到倾盆雨	心急如焚
拉屎薅（hao）草	一举两得
拉屎啃鸡腿	亏他张得开嘴
拉屎啃猪蹄	香香臭臭
拉屎拉到鞋跟儿里	提不得
拉屎攥（zuan握）拳头	暗里使劲；使暗劲
拉完磨子杀驴	恩将仇报；以怨报德
拉直狗腿	办不到；没法办
拉直牛角	白费功夫；枉费功；办不到；白费力气
拉着大粪车赶庙会	走到哪臭到哪；走一路臭一路
拉着耳朵擤（xinq）鼻涕	胡扯；劲用得不是地方
拉着何仙姑叫舅妈	五百年前是一家
拉着虎尾喊救命	自己找死（比喻自寻死路。）
拉着娄阿鼠叫干爹	认贼作父
拉着手走路	你行我也行
拉着土匪叫爹	认贼作父
拉着拖车卖豆腐	架子不小；好大的架子
拉着状元喊姐夫	想高攀
邋遢（la ta不利落；不整洁）兵败阵	连滚带爬；滚的滚，爬的爬
喇叭当烟囱	不对口径
喇叭断了线	不想（响）
喇叭佬娶老婆	自吹
喇叭嘴上塞泥巴	吹不响
腊八儿出生	动（冻）手动（冻）脚
腊皮人烤火	浑身都软了
腊皮鱼篓	滴水不漏
腊肉汤里煮挂面	有言（盐）在先
腊鸭子煮到锅里头	身子烂了，踊头还硬（比喻身子受了苦，嘴上还是不肯说。）
腊鸭子煮锅里	身子烂了嘴还硬
腊月的井水	热乎乎
腊月底看农历	没日子啦
腊月二十三的灶王爷	离板了
腊月里吃黄连	寒苦
腊月里的梅花	傲霜斗雪
腊月里借扇子	火气太大；冷不防
腊月里扇扇子	火气太大（比喻脾气十分暴躁。）
腊月里送蒲扇	不识时务
腊月里遇上狼	冷不防（比喻意料外的。）
腊月里遇着狼	冷不防
腊月卖凉粉	不是时候
腊月盼打雷	空想；不识时务
腊月三十贴对子	一年一回
腊月三十洗长衫	今年不干明（来）年干
腊月天找杨梅	难得；得之不易
腊月贴门神	一个向东，一个向西
腊月尾正月头	不愁吃
腊月种小麦	外行
瘌痢头害脚癣	两头不落一头
瘌痢头上的虱子	无地容身；无处藏身
蜡人玩火	自顾不暇
蜡台上无油	空费芯（心）
蜡制的苹果	好看不好吃
蜡烛的脾气	不点不明
蜡烛的一生	照亮别人，毁了自己
蜡烛点火	一条心
辣椒炒豆腐	外辣里软（比喻人外表强硬而内心怯懦。）
辣椒粉吹进鼻眼里	够戗（够受的）
辣椒棵上结茄子	经得发紫
辣椒面捏关爷	红人
辣蜊蜊（la la qu）蝼蛄穿大褂	硬充土绅士
辣子（辣椒）拌老姜	辣对辣
癞大哥坐秤盘	自称自大
癞格宝（癞蛤蟆）变的	专吃自来食
癞格宝上墙	巴不得（迫切盼望）
癞蛤蟆剥了皮	死不瞑目；心不死；不死心
癞蛤蟆剥皮不闭眼	还想蹦达几下（比喻还想作垂死挣扎。）
癞蛤蟆不长毛	天生这种路；没法治
癞蛤蟆吃秫秫（高梁）	顺杆（秆）爬
癞蛤蟆吃天	无从下口；难下口
癞蛤蟆吃骰子	一肚子点子
癞蛤蟆吃樱桃	想头不低；想得高
癞蛤蟆穿大红袍	只可远看，不能近瞧（比喻仔细一瞧就露馅了。）
癞蛤蟆吹唢呐	没人声；难听；小气
癞蛤蟆打吹欠	好大的口气
癞蛤蟆打伞	怪事一桩；怪事
癞蛤蟆带娃娃	只讲个数
癞蛤蟆戴花	臭美
癞蛤蟆戴笼头	怪相；你算什么畜牲
癞蛤蟆的脊梁	点子多
癞蛤蟆垫床脚	死撑活挨
癞蛤蟆跌粥锅	说他混蛋，他还一肚子气
癞蛤蟆躲端午	躲过初一，躲不过十五
癞蛤蟆赶船	搭不上帮
癞蛤蟆过壕沟	干瞪眼；白瞪眼
癞蛤蟆过江	自身难保
癞蛤蟆挎大刀	邋遢（ld ta不利落;不整洁）兵
癞蛤蟆爬香炉	触一鼻子灰
癞蛤蟆敲大鼓	自吹自擂
癞蛤蟆请客	四眼相顾
癞蛤蟆上餐桌	倒霉透了；扫兴
癞蛤蟆上樱桃树	光想高味
癞蛤蟆生蝎子	一窝更比一窝毒（比喻一代比一代阴险、歹毒）
癞蛤蟆栓在鳖脚上	跳不高，爬不快
癞蛤蟆跳到秤盘上	自称自（比喻自己称赞自己）
癞蛤蟆跳到热鏊（ao烙饼的炊具。铁制圆形平底）上	蹦不了几下；自己找死
癞蛤蟆跳戥（deng叩戥子。测定贵重物品或药品重量的小秤）盘	不知自己有多少斤两
癞蛤蟆跳井	不懂（扑通）
癞蛤蟆跳上金銮殿	登峰造极
癞蛤蟆跳油锅	寻死；自己找死
癞蛤蟆吞蒺藜（ji li一年生草本植物。果皮有尖刺）	干吃哑巴亏；吃了哑巴亏
癞蛤蟆吞鱼钩	自作自受
癞蛤蟆吞月亮	痴心妄想
癞蛤蟆遭牛踩	末日来临
癞蛤蟆张口	专吃自来食
癞蛤蟆追兔子	一步跟不上，步步跟不上；一步赶不上，步步都紧张
癞蛤蟆坐飞机	一步登天
癞蛤蟆坐金銮殿	痴心妄想
癞和尚念经	走样了
癞痢头撑伞	无法（发）无天
癞痢头上长肿瘤	突（秃）出
癞痢头上的伤疤	明摆着
癞蟆的脊梁	点子多；点子不少
癞皮狗上轿	招摇撞骗
癞头婆生疮	丑上加丑
癞头婆死老公（丈夫）	无法（发）无天
癞子长脚板疮	上下都有毛病
癞子吃猪肉	块块好
癞子当和尚	不费手续
癞子的脑袋	不好提（剃）（比喻不好谈。或很难对付。）
癞子的脑壳	没法（发）
癞子剃头	看货
癞子头上抓痒	求之不得
栏杆上摆花盆	无地自容
栏里关的猪	蠢货
蓝球场上的裁判	跟着跑
蓝天上的白云	自由自在
蓝天上的气球	轻飘飘的
蓝天上的云彩	随风飘
篮子里挑花	越看眼越花
篮子里装土地菩萨	提神
懒厨子办席	不想吵（炒）
懒厨子做席	不想给你吵（炒）
懒大嫂赶场	中间不急两头忙
懒姑娘头上的虮子（ji zi虱子的卵）	一串一串的
懒汉不拉纤	顺水推舟
懒鸡婆抱窝	守着摊儿过
懒驴进磨道	自上圈套
懒驴上磨	屎尿多
懒驴子驾辕	不打不走
懒驴子上套	打一鞭走一步
懒木匠的锯子	不错（挫）
懒鸟不搭窝	得过且过
懒牛拉磨	不打不走；上了圈套
懒牛懒马干活	屎尿多
懒牛上套	屎尿多
懒婆娘穿袜头	老一套
懒婆娘的包袱	窝窝囊囊
懒婆娘的裹脚布	又臭又长
懒婆娘的剪刀	难开口；不好开口
懒婆娘的针线筐	乱七八糟
懒婆娘干活	慢慢磨
懒婆娘上鸡窝	笨（奔）蛋
懒婆娘坐轿	愿上不愿下
懒人的铺盖	不理
烂板桥上的龙王	不是好东西
烂板子搭桥	难过；不顶事
烂鼻子菩萨	闻不着香臭
烂鼻子闻猪头	不知香臭
烂边礼帽	顶好
烂粪箕捞泥鳅	溜啦
烂膏药贴在好肉上	没病找病；自找麻烦
烂瓜皮当帽子	霉到顶了
烂筐子上拴丝穗子	不相称
烂了的番茄满街送	不识时务
烂了根的葱	心不死
烂麻搓成绳	吃不住劲
烂麻袋装珍珠	好的在里面
烂麻里搀猪毛	一团糟
烂麻拧成绳	有了头绪；合在一起干
烂木头刻章	不是这块料
烂木头	做不得大梁
烂木头做梁柱	难顶难撑
烂脑瓜戴上新毡帽	冒充好人
烂泥巴糊墙	外光里不光；表面光；上不去
烂泥巴捏神像	没个好心肠；全靠贴金
烂泥巴下窑	不成东西；难成器
烂泥补柱子	难顶难撑
烂泥里摇桩	越陷越深
烂泥路上开汽车	卷土重来
烂泥路上拉车	越陷越深
烂泥坯子贴金身	胎里坏；坏了胎
烂泥菩萨	样子神气
烂泥菩萨洗脸	干净不了
烂泥下窑	烧不成个东西（比喻能力差或本质不好的人办不成事；）
烂屁股蜘蛛	没事（丝）
烂菩萨坐深山	没人理；没见过大香火
烂蒲扇打人	无关痛痒；不痛不痒
烂汽车过朽桥	乘人之危
烂肉喂苍蝇	投其所好
烂伞遮日	半边阴
烂扫帚上市	分文不值
烂柿子换核桃	吃硬不吃软
烂柿子落地	软瘫了
烂柿子上船	软货
烂田里的活路	难做
烂田里的石臼	永世不得翻身
烂田里翻碌碡（liu zhou 石磙）	越陷越深
烂透的毒疮	不可救药
烂袜子改背心	小人得志（之）
烂网打鱼	一无所获
烂乌拉（wu la东北地区冬天穿的鞋。用皮革制成，里成垫乌拉草）套没底袜	差对差；差配差
烂西瓜	一肚子坏水
烂眼招苍蝇	倒霉透了；真倒霉
烂鱼开了膛	一副坏心肠；心肠坏
烂钟	没准儿
烂猪头碰到烂肠子	臭味相投
烂柱子搭桥	不牢靠
郎中（中医医生）卖棺材	死活都要钱
郎中咬牙	恨人不死
狼吃东郭先生	恩将仇报；以怨报德
狼吃蓑衣	没有人味
狼叼来的喂狗	白享受
狼给羊献礼	没安好心
狼哭羊羔	假仁假义；虚情假意；假慈悲
狼夸羊肥	不怀好意
狼头上插竹笋	装样（羊）
狼头上戴斗笠	假充好人
狼窝里的肉	难久留
狼窝里的羊	九死一生
狼窝里养孩子	性命难保
狼也跑了，羊也保了	两全其美
狼崽进羊圈	没好事；不是好事
狼装羊笑	没安好心；居心不良
浪里撑船	看风使舵
浪头撞在礁石上	粉身碎骨
浪中行船	时高时低
浪子回头	金不换；弃恶从善
捞到虾公还要鲤鱼	好了还要更好
劳动号子	一呼百应
劳摸作报告	传经送宝
牢房里赌博	一错再错
痨病鬼儿开药店	自己图方便
老白干儿（白酒）泡砒霜（pi shu6ng砷的氧化物。剧毒）	又毒又辣；毒辣
老包（包公）断案	认理不认亲
老保姆带孩子	人家的
老鳖跌跟头	翻了
老鳖吞秤砣	狠心王八
老鳖咬人	叼住不放；死不丢
老刺猬下山	一骨碌
老大哥拍胸脯	兄弟放心
老大懒惰老二勤	一不做，二不休
老大爷干活	不利索
老大坐车，老二骑马	各走各的路
老旦唱小生	不像样
老雕变成夜猫子	越变越糟；一辈不如一辈
老雕戴帽子	冒充鹰
老掉牙的虎	雄心在
老掉牙的驴	顾（雇）不得
老坟头里的尸骨	空架子
老坟头里上拉屎	糟踏祖先
老佛爷念素珠	心中有数；肚里有数
老公（丈夫）打扇	凄（妻）凉
老公公吹笛子	气力不足
老公鸡披蓑衣	嘴尖毛长
老公鸡着火	官僚（冠燎）
老姑娘拜天地	去了心事
老鸹（lao qua 乌鸦）叮蚌壳	难脱身；脱不了身
老鸹喝墨水	从外黑到心
老鸹落在煤堆上	不显眼；显不着你
老鸹落在猪身上	光看别人黑，不见自己黑
老鸹配凤凰	痴心妄想；妄想
老鸹站树梢	呱呱叫
老鸹爪子	黑手
老鸹钻出烟囱	从黑道上来的
老寡妇嫁到饭馆里	讲吃不讲穿
老寡妇遇见老绝户	孤的孤，苦的苦
老海瑞上金殿	为民请命
老汉的枕头	一包草
老汉啃甘蔗	咬牙切齿
老和尚搬家	吹灯拔蜡
老和尚的百衲衣	东拼西凑
老和尚讲佛经	说的说，听的听
老和尚念经	句句真言；千篇一律；照本宣科
老和尚诵经	念念有词
老和尚剃头	一扫光
老和尚撞钟	得过且过；过一天算一天
老葫芦爬秧	越拉越长
老虎扮和尚	人面兽心
老虎背上翻跟头	找死；自取其祸；惹祸上身
老虎背上拍苍蝇	送死；自己找死
老虎背上玩把戏	胆大心细
老虎背十字架	冒充耶稣
老虎变猪猡	又丑又恶；又笨又恶
老虎不吃人	恶名在外；名声不好
老虎吃鼻烟	胡吹一气；真能吹
老虎吃刺猬	无法下口
老虎吃豆芽	小菜一碟
老虎吃蚂蚁	不够塞牙缝，不够嚼
老虎吃蚂蚱	小菜一碟；不过瘾；小菜儿；不够塞牙缝
老虎吃牛	大干一场
老虎吃蜻蜓	不过瘾
老虎吃算盘珠	心中有数；肚里有数
老虎吃天	难下爪；不知高低
老虎吃田螺	无从下口；难下口；无法下口
老虎吃跳蚤	供不应求
老虎吃兔子	一口吞；囫囵（hu lun完整；整个儿）吞
老虎吃羊羔	不吐骨头
老虎出山	浑身是胆；横冲直撞
老虎出山遇见豹	一个更比一个凶；一个更比一个恶
老虎打摆子	窝里战（颤）
老虎打架	劝不得
老虎打瞌睡	机会难得；难得的机会
老虎逮耗子	有劲使不上；耍的什么威风
老虎戴佛珠	假慈悲；假慈善
老虎戴脚镣	欲凶无力
老虎当马骑	有胆有魄
老虎的胡子	摸不得；拔不得
老虎的屁股	拍不得；摸不得
老虎的头发	没人理
老虎洞里砌神台	莫名其妙（庙）
老虎赶猪	冒充善人
老虎驾辕	没人敢（赶）；谁敢（赶）
老虎借猪狗借骨	有借无还
老虎借猪	有去无回
老虎金钱豹	各走各的路；各行各的道
老虎近身	开口是祸
老虎进棺材	吓死人
老虎进庙堂	没安好心
老虎拉车	没人敢（赶）；不听那一套
老虎离山落平原	抖不起威风
老虎咧嘴笑	阴险歹毒
老虎落陷阱	有劲使不上；命难逃
老虎没了皮	威风扫地
老虎念经	假正经；口是心非
老虎披蓑衣	没个人模样
老虎屁股	摸不得
老虎屁股上抓痒痒	自取其祸；惹祸上身
老虎上磅秤	自称威风
老虎上吊	没人敢救
老虎烧香	冒充善人
老虎身上的虱子	没人敢惹；惹不起
老虎添翼	好威风
老虎舔糨糊	不够煳（糊）嘴
老虎舔胸脯	吃人心肝
老虎头皮蛇尾巴	有始无终
老虎头上的苍蝇	拍不得
老虎头上拉屎	好大的胆子；好大胆
老虎头上撒胡椒	大胆泼辣
老虎头上捉虱子	不怕死；好心不得好报
老虎推磨	不听那一套
老虎吞石狮	吃不消
老虎拖象	大干一场
老虎尾巴绑扫帚	威风扫地
老虎演戏	难收场；看不得；下不了台；收不了场
老虎爪子蝎子心	又狠又毒
老虎追得猫上树	多亏留了一手
老虎嘴里拔牙	找死；送死；寻死
老虎嘴里讨脆骨	不是好惹的
老虎嘴里讨食	胆子不小；胆子大；好大胆
老虎嘴上拔胡子	找死；送死；自己找死；胆子不小；胆子大
老虎坐庙堂	想充神仙
老槐树枯了心	外强中干
老将出马	一个顶俩
老将耍镰刀	少见（剑）
老九的弟弟	老实（十）
老舅舅拉破二胡	陈词滥调
老君爷（道教对老子的尊称）叫蛇咬	无法可使
老寇准背靴子	明察暗访
老来得子	大喜
老来学绣花	心灵手不巧
老两口吵架	公说公有理；婆说婆有理
老两口观灯	走着瞧
老两口埋在一个坟里	死活一对
老两口赏月	平分秋色
老两口演戏	夫唱妇随
老猎手打野兽	百发百中
老柳树发新芽	回春
老龙王搬家	厉害（离海）
老龙王投江	死得其所
老驴噙本《三字经》	咬文嚼字
老虑戴上假面具	人面兽心
老妈妈补衣裳	见缝插针
老妈妈奶孩子	舍己为人；枉费心
老妈子带孩子	人家的
老妈子侍侯人	拿手戏
老猫犯罪狗戴枷	无辜受罪；嫁祸于人
老猫拿（捉）耗子	一物降一物
老猫上锅台	熟路；道熟
老猫上树	紧抓挠
老猫偷食狗挨打	错怪
老猫卧房脊	一辈传一辈
老面蒸馒头	发得快
老母鸡斗黄鼠狼	不是对手
老母鸡生疮	毛病
老母鸡跳进药材铺	自找苦吃
老母鸡下蛋	脸红脖子粗；呱呱叫
老母牛上场	屎尿多
老母猪摆擂台	丑八怪逞能
老母猪剥皮	露骨
老母猪吃芥末（调味品。味辣）	脸上贴金
老母猪吃醪糟	酒足饭饱
老母猪吃破鞋	心里有底
老母猪打架	全凭一张嘴；全仗嘴
老母猪打喷嚏（pen ti）	笨嘴拙舌
老母猪戴金耳环	冒富
老母猪的耳朵	软骨头
老母猪的尾巴	拖泥带水
老母猪拱地	好硬的嘴
老母猪逛花园	眼花缭乱
老母猪和牛打架	豁出老脸来了
老母猪进夹道	进退两难
老母猪进粮仓	贪吃贪喝；饱吃饱喝
老母猪啃槽	耷拉（da la下垂）着脑袋；不抬头
老母猪啃瓷砖	满嘴词（瓷）
老母猪啃猪圈	嘴巴痒了
老母猪啃砖头	好硬的嘴
老母猪尿窝	自作自受
老母猪敲门	哪里来的蠢货
老母猪下棋	瞧你那笨脑瓜
老母猪嫌米糠	反常
老母猪追兔子	上气不接下气
老母猪钻篱笆	进退两难
老木匠的家什	要啥有啥
老木中空	外强中干
老奶奶吃软柿子	正好
老奶奶的发髻	输（梳）定了
老奶奶的嫁衣	老古董
老尼姑瞧嫁妆	没指望
老牛挨鞭子	忍辱负重
老牛闯进瓷器店	破的破；烂的烂
老牛吃草	吞吞吐吐
老牛出工	让人牵着鼻子走；浑身是劲
老牛打滚	大翻身
老牛打喷嚏（pen ti）	笨嘴笨舌
老牛大憋气	不吭声
老牛掉进深泥潭	不能自拔
老牛反刍	吞吞吐吐
老牛赶山	走到哪天算哪天
老牛喝水	不抬头
老牛啃地皮	耷拉（da la下垂）着脑袋
老牛啃瓜	不抬头
老牛拉犁马拉车	浑身是劲
老牛拉磨	团团转；慢工出细活；默默无闻
老牛拉碾	原地打转
老牛拉破车	两凑合；慢腾腾；松松垮垮
老牛拉稀屎	接连不断
老牛拉座钟	又稳又准
老牛撵（nian追赶）兔子	有劲使不上
老牛身上拔根毛	微不足道
老牛拴在树桩上	没跑；跑不了
老牛踏垡子（fa zi翻耕过的土地）	一步一个脚印
老牛头进汤锅	难熬
老牛脱了磨	空转一遭
老牛追骏马	撵（nian追赶）不上；老落后；落后了
老牛追汽车	赶不上；撵不上
老牛走老路	照旧
老牛钻狗洞	难通过；通不过
老牛钻耗子洞	行不通；走不通
老牛钻鸡窝	没门
老牌子钢针	宁折不弯
老婆婆抱孙子	喜笑颜开
老婆婆吃腊肉	扯皮
老婆婆戴刺梨花	人家不夸自己夸
老婆婆当兵	充数儿
老婆婆荡秋千	玩命
老婆婆的破包袱	窝囊一辈子
老婆婆翻跟头	一蹶不振
老婆婆纺线	拖拖拉拉
老婆婆喝稀饭	无耻（齿）下流
老婆婆看嫁妆	下一辈子的事
老婆婆赛跑	精神可嘉
老婆婆烧香	一片诚心；心诚
老婆婆跳皮筋	非同儿戏
老婆子当兵	充数
老婆子落水	凄（妻）凉
老人家拜年	一年不如一年
老山猫呲牙	笑面虎
老艄公撑船	看风使舵
老寿星的脑袋	宝贝疙瘩
老寿星的座椅	四不像
老寿星还童	面目全非
老寿星骑仙鹤	没路（鹿）
老寿星上吊	活得不耐烦了；活够了
老鼠挨一百棒	面不改色
老鼠吃高粱	顺杆（秆）爬
老鼠吃海水	无足轻重
老鼠吃猫	怪事
老鼠打架	小抓挠
老鼠盗葫芦	大头在后面；大的在后头
老鼠掉进面缸里	翻白眼
老鼠跌进米囤里	因祸得福
老鼠跌进铁桶里	无缝可钻
老鼠跌坛子	有进无出
老鼠跌香炉	触一鼻子灰
老鼠给大象指路	越走越窄
老鼠给猫捋（iv 用手指顺着抹过去；使物体顺溜或干净）胡子	送死；自己找死
老鼠给猫祝寿	自送一口肉；送来的口食
老鼠跟猫睡觉	练胆子
老鼠攻墙	家贼难防
老鼠过街	人人喊打
老鼠嫁花猫	冤家变亲家
老鼠见了猫	吓破了胆
老鼠进洞	拐弯抹角
老鼠进棺材	咬死人
老鼠进口袋	寻死；自己找死
老鼠看仓	越看越光
老鼠看天	小见识
老鼠扛大枪	窝里逞能
老鼠啃大象	难下口；无法下口
老鼠啃擀面杖	白费牙
老鼠啃鸡蛋	无从下口
老鼠啃菩萨	没有人味；没人味
老鼠拉秤砣	自塞门路
老鼠拉骆驼	野心太大；野心勃勃
老鼠拉木掀	大头在后面
老鼠拉王八	找不到头・
老鼠落在砻糠（long kang稻谷砻过后脱下的外壳）里	白欢喜；空喜一场
老鼠闹洞房	唧唧喳喳
老鼠跑进食盒里	抓住理（礼）了
老鼠碰上猫	在劫难逃
老鼠骑水牛	大的没有小的能；小能降大
老鼠娶妻遇老猫	又喜又悲；悲喜交加
老鼠上了老鼠夹	死到临头；死在眼前
老鼠抬轿子	担当不起
老鼠舔猫鼻	找死；送死；自己找死
老鼠跳到糠箩里	空欢喜
老鼠跳火坑	毛干爪净
老鼠偷秤砣	倒贴（盗铁）
老鼠偷拖西瓜	连滚带爬；滚的滚，爬的爬
老鼠偷芝麻	吃香
老鼠尾巴熬汤	没多大油水
老鼠尾巴	大不了
老鼠尾巴害疖子	脓水不大
老鼠尾巴上绑鸡毛	不是好鸟；不是正经鸟
老鼠尾巴生疮	小毛病
老鼠咬铳（chong一种旧式火器）	两败俱伤
老鼠咬猫	要拼命；拼啦；天下奇闻；无奇不有
老鼠咬牛	大干一场
老鼠咬旗杆	吃不到（倒）
老鼠咬石柱	攻不倒
老鼠咬乌龟	无从下口；难下口；无法下口
老鼠咬象鼻	不识大体
老鼠咬灶君	欺神灭相
老鼠钻风箱	两头受气
老鼠钻进火筒	两头受气（比喻受到两边或两方面不就有的埋怨和责备。）
老鼠钻烟囱	够戗（够受的）
老鼠嘴里讨碎骨	莫想
老鼠做寿	小打小闹
老水牛拉马车	不合套
老太婆搽胭脂	不知自丑
老太婆吃黄连	苦口婆心
老太婆吃猪蹄	横扯筋；扯筋
老太婆垫铺衬（碎布头或破布）	一层管一层
老太婆改嫁	事出有因
老太婆过年	一年不如一年；过一年少一年
老太婆啃窝头	细嚼慢咽
老太婆纳鞋底	千真（针）万真（针）
老太婆上台阶	步步高升；步步登高
老太婆数鸡蛋	一个个来
老太婆住在高楼	上下两难；上下为难
老太婆坐牛车	稳稳当当
老太太补衣服	东拼西凑
老太太吃炒胡豆	咬牙切齿
老太太吃海蜇	搬嘴弄舌
老太太吃年糕	闷了口
老太太吃牛筋	食而不知其味
老太太吃柿子	专拣软的捏
老太太吃汤圆	囫囵（hu lan完整；整个儿）吞
老太太打补丁	东拼西凑；穷凑合
老太太打哈欠	一望无涯（牙）
老太太得孙子	大喜
老太太的脚趾头	委屈一辈子
老太太的金莲（旧时指缠足妇女的脚）	窝囊一辈子；委屈一辈子
老太太的鞋	前紧后松
老太太的嘴	吹软不吃硬；说不完的话
老太太纺纱	越扯越长
老太太过溜冰场	走险
老太太开了话匣子	唠唠叨叨
老太太啃骨头	软磨硬顶
老太太啃鸡脚	难嚼难咽；横扯筋
老太太哭儿	没指望
老太太扭秧歌	笨手笨脚
老太太上台阶	一步步来
老太太算账	一码是一码
老太太洗萝卜	一个一个来
老太太学钢琴	手忙脚乱
老太太学绣花	心灵手笨
老太太走独木桥	难过
老太太走路	慢腾腾
老太太坐飞机	抖起来了；一步登天
老套子卷珍珠	内中有宝
老藤爬树	缠住不放
老天爷不下雨，当家的不说理	奈何不得；无可奈何
老天爷拄拐杖	一竿子插到底
老头吃麻糖	越拉越长；越扯越长
老头儿发脾气	吹胡子瞪眼
老头牵瘦驴	顾（雇）不得
老头子联欢	非同儿戏
老头子坐摇篮	装孙子
老王卖瓜	自卖自夸
老相识见面鞠一躬	有礼
老熊奔陷阱，野猫钻圈圈	一物降一物
老熊爬杆	上不去
老鸦背上插花翎	自以为美
老鸦唱山歌	不入调
老鸭公唱戏	喉咙不争气
老鸭公想唱戏	喉咙不争气
老洋芋充天麻	公开作假
老爷家里当差的	低三下四
老爷庙求子	走错了门
老爷坐马桶	赃（脏）官
老鹰变成夜猫子	一代不如一代；一辈不如一辈
老鹰捕食	见机（鸡）行事
老鹰得肠	欢喜若狂
老鹰叼黄牛	贪欲太大
老鹰叼蛇	十拿九稳
老鹰抓蓑衣	脱不了爪
老鹰抓小鸡	轻拿；捧上天了；居高临下；一提就走；有去无回
老鹰追兔子	一个天上，一个地下
老鹰啄田埂	白磨嘴皮子
老榆木疙瘩	挪不动
老玉米里搀白面	粗中有细
老张的拳头捣老张的腿	自作自受
老蜘蛛的内脏	满肚子私（丝）；一肚子私（丝）
老子哭儿	惨不忍睹
老子纳妾儿嫖娼	一窝不正经
老子纳妾儿姘居	上梁不正下梁歪
老子入团儿入党	一代更比一代强
老子偷蛋儿偷鸡	一辈更比一辈坏
老子偷瓜儿盗果，老子杀人儿放火	辈更比一辈坏
老子偷猪儿偷牛	一辈更比一辈坏
老子坐班房，儿子挨夹杠	受人牵连
乐队里的锣鼓	任人敲打
乐队里敲破锣	不入调
乐山的大佛	老实（石）人
勒紧裤带过日子	日子难过；岁月难熬
勒紧裤带拉二胡	穷作乐；穷快活
雷公打豆腐	拣软的欺；不堪一击
雷公打芝麻	专拣小的欺
雷公动怒	不同凡响；惊天动地
雷公躲进土地庙	天知地知
雷公劈城隍	以上压下
雷公劈海椒（辣椒）	火辣辣的脾气
雷公劈蚂蚁	大的欺负小的
雷婆找龙王谈心	天涯海角觅知音
雷声大，雨点小	有名无实
雷雨天下冰雹	一落千丈
垒鼓配银锣	配得起你
肋条换猪爪	不上算；不合算
擂鼓奏唢呐	吹吹打打；又吹又打
冷饭团发芽	无奇不有；天下奇闻
冷锅爆豆子	不声不响；无声无息
冷锅贴饼子	溜啦
冷镬子（huo zi锅）里爆出热栗子	不可能的事；没人见过；没有的事
冷水浇头	凉了半截
冷水沏茶	等着吧；慢慢来；无味
冷水齐腰	凉了半截
冷水梳头	一时光
冷水烫鸡	一毛不拔
冷天戴手套	保守（手）
冷天吞了热汤圆	身上暖烘烘，心上甜滋滋
冷眼观螃蟹	看你横行到几时
狸猫换太子	以假充真
离了水晶宫的龙	寸步难行
离群的羊羔	孤孤单单
离水的鱼儿	难活命；性命难保
离枝的鲜花	活不久；活不长
犁地的甩鞭	吹（催）牛
犁地淹死牛	伤（墒）透了
黎明的觉，半道的妻，羊肉饺子清炖鸡	难得的好处
李逵扮新娘	装不像
李逵穿针	粗中有细
李逵断案	强者有理
李逵开铁匠铺	人强货硬
李逵抡板斧	以势压人
李逵骂宋江，过后赔不是	负荆请罪
李逵卖煤炭	黑对黑；黑上加黑
李逵绣花	力不能及；力不从心
李时珍看病	手到病除；妙手回春
李世民登基	顺应民心
李世民捏窝窝头	御驾亲征（蒸）
里插竹竿	横生枝节；横行霸道
理发店关门	没头了；不理了
理发店收徒弟	从头来；从头学起
理发匠登金榜	行行出状元
理发师教徒弟	从头来；从头学起
理发师上鞋（把鞋帮、鞋底缝在一起）底	从头包到脚
理字卖给阎王爷	不讲道理
鲤鱼产卵	一撒一大片
鲤鱼吃秤砣	铁了心
鲤鱼吃水	吞吞吐吐
鲤鱼戴斗笠	愚（鱼）人
鲤鱼的本领	专往软处钻
鲤鱼的胡子	没几根
鲤鱼护窝	不会走多远
鲤鱼落在灰堆里	越弄越湖涂
鲤鱼碰网	白取灭亡
鲤鱼剖腹	开心
鲤鱼跳船上	不劳（捞）而获
鲤鱼跳到鱼船上	寻着死来
鲤鱼跳龙门	身价百倍；高升了
鲤鱼下油锅	死不瞑目
鲤鱼咬钓钩	吞不下，吐不出
鲤鱼找鲤鱼，鲫鱼找鲫鱼	物以类聚
立春响雷	一鸣惊人
立秋的石榴	点子多
利剑斩乱麻	一刀两断
荔枝皮翻个儿	点子多；点子不少
俩狗打架	你咬我，我咬你；以牙还牙
俩和尚打架	谁也抓不到谁的辫子
俩牛抵角	豁着脑袋干
俩牛相斗	顶顶撞撞；又顶又撞
俩螃蟹打架	纠缠不清
俩兽医抬一头驴	没法治；没治了
俩哑巴见面	没说的
俩哑巴睡一头	好得没法说；无话可说
俩哑巴说话	比比划划
连鬓胡子吃麻糖	纠缠不清
莲梗打人	思（丝）情不断
莲梗结籽	心连心
莲花并蒂开	恰好一对
莲藕炒粉条	无孔不入
莲藕吹风	似通非通；半通不通
莲藕生疮	坏心眼
莲藕有节又有孔	似通非通
廉颇背荆条	负荆请罪
镰刀对斧头	硬碰硬
镰刀卡在喉咙里	吞不下，吐不出
脸蛋上的痤疮	疙疙瘩瘩
脸蛋贴膏药	眼前就是毛病；破相
脸盆里的泥鳅	看你滑到哪里去
脸盆里摸鱼	十拿九稳
脸盆里扎猛子	不知深浅
脸上含笑，脚下使绊子	暗伤人；暗中伤人
脸上贴膏药	面子上不好看；破相
脸上贴狗毛	不知好歹；好歹不分
脸上写字	表面文章
练兵场上的耙子	众矢之的
